Producto,Variedad,Precio,Fecha
Aceite,Aceite Alsol De 18 Lt.,"4,63",2020-06-12 0:00:00
Aceite,Aceite Clásico Botella X 1l,"7,24",2020-06-12 0:00:00
Aceite,Aceite Cocinero 12 X 1 Lt.,"6,4",2020-06-12 0:00:00
Aji Fresco,Aji Escabeche,"1,55",2020-06-12 0:00:00
Aji Fresco,Aji Montaña,"2,63",2020-06-12 0:00:00
Aji Fresco,Aji Rocoto,"2,15",2020-06-12 0:00:00
Aji Seco,Aji Amarillo Seco,"10,5",2020-06-12 0:00:00
Aji Seco,Aji Panca,"10,75",2020-06-12 0:00:00
Aji Seco,Aji Paprika,"9,5",2020-06-12 0:00:00
Ajo,Ajo Criollo O Napuri,"9,13",2020-06-12 0:00:00
Ajo,Ajo Morado,"10,75",2020-06-12 0:00:00
Alcachofa,Alcachofa,"2,88",2020-06-12 0:00:00
Apio,Apio,"0,75",2020-06-12 0:00:00
Arroz,Arroz Corriente,"2,3",2020-06-12 0:00:00
Arroz,Arroz Costeño Graneadito 20 Unid. X,"3,98",2020-06-12 0:00:00
Arroz,Arroz Extra,"2,57",2020-06-12 0:00:00
Arroz,Arroz Importado Uruguayo,"3,2",2020-06-12 0:00:00
Arroz,Arroz Superior,"2,35",2020-06-12 0:00:00
Arroz,Arroz Superior Despuntado,"2,45",2020-06-12 0:00:00
Arveja Grano Verde,Arveja Verde Americana,"3,7",2020-06-12 0:00:00
Arveja Grano Verde,Arveja Verde Blanca Serrana,"3,2",2020-06-12 0:00:00
Azucar Comercial,Azucar Blanca Cartavio,"2,2",2020-06-12 0:00:00
Azucar Comercial,Azucar Blanca Casa Grande,"2,24",2020-06-12 0:00:00
Azucar Comercial,Azucar Blanca Importada,"2,2",2020-06-12 0:00:00
Azucar Comercial,Azucar Blanca Laredo,"2,2",2020-06-12 0:00:00
Azucar Comercial,Azucar Blanca Nacional ( Granel),"2,21",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Cartavio,"2,12",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Casa Grande,"2,14",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Dulce Olmos,"2,12",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Importada,"2,05",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Laredo,"2,12",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Nacional ( Granel),"2,13",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Paramonga,"2,16",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia Pomalca,"2,16",2020-06-12 0:00:00
Azucar Comercial,Azucar Rubia San Jacinto,"2,12",2020-06-12 0:00:00
Beterraga,Beterraga,"2,51",2020-06-12 0:00:00
Camote,Camote Amarillo,"0,94",2020-06-12 0:00:00
Camote,Camote Morado,"1,04",2020-06-12 0:00:00
Cebolla,Cebolla Cabeza Blanca,"1,58",2020-06-12 0:00:00
Cebolla,Cebolla Cabeza Roja,"1,6",2020-06-12 0:00:00
Cebolla,Cebolla China,"0,7",2020-06-12 0:00:00
Chirimoya,Chirimoya Criolla O Huayco,"2,63",2020-06-12 0:00:00
Chirimoya,Chirimoya Cumbe,"2,93",2020-06-12 0:00:00
Choclo,Choclo Tipo Cusco,"2,02",2020-06-12 0:00:00
Ciruela,Ciruela Nectarina ( Importada),"5,58",2020-06-12 0:00:00
Ciruela,Ciruela Roja / Criolla,"2,38",2020-06-12 0:00:00
Ciruela,Ciruela Santa Rosa / Nacional,"3,59",2020-06-12 0:00:00
Culantro,Culantro,"0,8",2020-06-12 0:00:00
Esparrago,Esparrago,"5,26",2020-06-12 0:00:00
Espinaca,Espinaca,"2,63",2020-06-12 0:00:00
Fideos,Fideos Anita A Granel,"2,82",2020-06-12 0:00:00
Fideos,Fideos Molitalia Spaghetti / Tallarin,"3,82",2020-06-12 0:00:00
Fresa,Fresa San Andreas,"6,75",2020-06-12 0:00:00
Frijol Grano Seco,Frijol Canario,"10,1",2020-06-12 0:00:00
Frijol Grano Seco,Frijol Castilla,"4,75",2020-06-12 0:00:00
Frijol Grano Verde,Frijol Verde Canario,"2,63",2020-06-12 0:00:00
Garbanzo Grano Seco,Garbanzo Criollo,"5,85",2020-06-12 0:00:00
Granadilla,Granadilla ( Costa),"3,06",2020-06-12 0:00:00
Granadilla,Granadilla ( Selva),"2,63",2020-06-12 0:00:00
Guanabana,Guanabana ( Costa),"4,05",2020-06-12 0:00:00
Guanabana,Guanabana ( Selva),"4,18",2020-06-12 0:00:00
Haba Grano Verde,Haba Verde Serrana,"1,65",2020-06-12 0:00:00
Harina,Harina Especial Sta. Anita,"1,79",2020-06-12 0:00:00
Harina,Harina Especial Don Angelo,"1,66",2020-06-12 0:00:00
Harina,Harina Nicolini,"1,9",2020-06-12 0:00:00
Hortalizas Chinas,Brocoli,"2,28",2020-06-12 0:00:00
Hortalizas Chinas,Col China / Longapa,"2,4",2020-06-12 0:00:00
Hortalizas Chinas,Frejolito Chino,"1,5",2020-06-12 0:00:00
Hortalizas Chinas,Holantau / Organica,"4,5",2020-06-12 0:00:00
Hortalizas Chinas,Kion,3,2020-06-12 0:00:00
Hortalizas Chinas,Pacchoy,"3,63",2020-06-12 0:00:00
Huevos,Huevos Rosados,"5,5",2020-06-12 0:00:00
Leche,Leche Evaporada 410 G,"2,92",2020-06-12 0:00:00
Leche,Leche Fresca Gloria En Bolsa ( 12 Bolsas De Litro),"3,09",2020-06-12 0:00:00
Leche,Leche Ideal Azul / Calcio 400gr X 48 Latas,"2,87",2020-06-12 0:00:00
Lechuga,Lechuga Americana,"1,29",2020-06-12 0:00:00
Lechuga,Lechuga Criolla Seda,"2,33",2020-06-12 0:00:00
Lechuga,Lechuga Romana Hidroponica,"1,17",2020-06-12 0:00:00
Limon,Limon Sutil Bolsa,"1,03",2020-06-12 0:00:00
Limon,Limon Sutil Cajon,"1,41",2020-06-12 0:00:00
Maiz Seco,Maiz Amarillo Duro,"1,19",2020-06-12 0:00:00
Maiz Seco,Maiz Marlo / Coronta De Maiz,8,2020-06-12 0:00:00
Maiz Seco,Maiz Morado,"1,43",2020-06-12 0:00:00
Mandarina,Mandarina Primosole,"1,63",2020-06-12 0:00:00
Mandarina,Mandarina Satsuma,"1,48",2020-06-12 0:00:00
Mandarina,Mandarina Tangerina,"0,96",2020-06-12 0:00:00
Mango,Mango Criollo,"3,93",2020-06-12 0:00:00
Manzana,Manzana Cte / Para Agua,"1,41",2020-06-12 0:00:00
Manzana,Manzana Delicia,"2,27",2020-06-12 0:00:00
Manzana,Manzana Golden,"2,48",2020-06-12 0:00:00
Manzana,Manzana Importada,"3,88",2020-06-12 0:00:00
Manzana,Manzana Israel,"2,98",2020-06-12 0:00:00
Manzana,Manzana Winter,"1,85",2020-06-12 0:00:00
Maracuya,Maracuya,"1,43",2020-06-12 0:00:00
Melocoton,Melocoton Blanquillo,"2,98",2020-06-12 0:00:00
Melocoton,Melocoton Durazno Huayco,"3,63",2020-06-12 0:00:00
Melon,Melon Coquito,"1,23",2020-06-12 0:00:00
Membrillo,Membrillo Criollo,"1,73",2020-06-12 0:00:00
Membrillo,Membrillo Serrano,"1,94",2020-06-12 0:00:00
Naranja,Naranja Primavera,"1,48",2020-06-12 0:00:00
Naranja,Naranja Tangelo Selva,"1,56",2020-06-12 0:00:00
Naranja,Naranja Valencia,"0,97",2020-06-12 0:00:00
Naranja,Naranja Washington Naval,"2,88",2020-06-12 0:00:00
Olluco,Olluco Largo,"1,4",2020-06-12 0:00:00
Otros Fruticolas,Aguaymanto,"4,4",2020-06-12 0:00:00
Otros Fruticolas,Albaricoque,3,2020-06-12 0:00:00
Otros Fruticolas,Arándano,14,2020-06-12 0:00:00
Otros Fruticolas,Camu Camu,"6,5",2020-06-12 0:00:00
Otros Fruticolas,Carambola,"1,23",2020-06-12 0:00:00
Otros Fruticolas,Cocona,"1,6",2020-06-12 0:00:00
Otros Fruticolas,Granada,"2,9",2020-06-12 0:00:00
Otros Fruticolas,Guayaba,"2,48",2020-06-12 0:00:00
Otros Fruticolas,Kake / Kaki,"4,63",2020-06-12 0:00:00
Otros Fruticolas,Kiwi Importado Chileno,"6,44",2020-06-12 0:00:00
Otros Fruticolas,Lima Dulce,"2,73",2020-06-12 0:00:00
Otros Fruticolas,Mamey,"3,73",2020-06-12 0:00:00
Otros Fruticolas,Noni,"1,65",2020-06-12 0:00:00
Otros Fruticolas,Pitahaya,"14,5",2020-06-12 0:00:00
Otros Fruticolas,Tumbo,"2,38",2020-06-12 0:00:00
Otros Fruticolas,Yacon ( Llacon),"1,55",2020-06-12 0:00:00
Otros Fruticolas,Zapote,"2,43",2020-06-12 0:00:00
Pallar Grano Seco,Pallar,"6,33",2020-06-12 0:00:00
Palta,Palta Criolla,"1,56",2020-06-12 0:00:00
Palta,Palta Dedo,"3,98",2020-06-12 0:00:00
Palta,Palta Fuerte,"3,58",2020-06-12 0:00:00
Palta,Palta Hall,"1,35",2020-06-12 0:00:00
Palta,Palta Hass,"2,8",2020-06-12 0:00:00
Papa,Papa Amarilla,"1,26",2020-06-12 0:00:00
Papa,Papa Blanca,"0,54",2020-06-12 0:00:00
Papa,Papa Canchan,"0,61",2020-06-12 0:00:00
Papa,Papa Color,"0,58",2020-06-12 0:00:00
Papa,Papa Huamantanga,"0,94",2020-06-12 0:00:00
Papa,Papa Huayro,"0,94",2020-06-12 0:00:00
Papa,Papa Negra Andina,"0,7",2020-06-12 0:00:00
Papa,Papa Peruanita,"1,14",2020-06-12 0:00:00
Papa,Papa Unica,"0,54",2020-06-12 0:00:00
Papa,Papa Yungay,"0,54",2020-06-12 0:00:00
Papa Seca,Papa Seca,"5,88",2020-06-12 0:00:00
Papaya,Papaya ( Selva),"2,19",2020-06-12 0:00:00
Pepino,Pepino Rayado O Melon,"2,3",2020-06-12 0:00:00
Pimiento Fresco,Pimiento Morron,"2,85",2020-06-12 0:00:00
Piña,Piña Criolla ( Selva),"1,1",2020-06-12 0:00:00
Piña,Piña Golden,"2,19",2020-06-12 0:00:00
Piña,Piña Hawaiana,"0,95",2020-06-12 0:00:00
Platano,Platano Bellaco,"1,36",2020-06-12 0:00:00
Platano,Platano Bizcocho,"1,38",2020-06-12 0:00:00
Platano,Platano Isla,"1,7",2020-06-12 0:00:00
Platano,Platano Manzano,"1,22",2020-06-12 0:00:00
Platano,Platano Morado,"2,27",2020-06-12 0:00:00
Platano,Platano Palillo,"1,78",2020-06-12 0:00:00
Platano,Platano Seda Congo,"1,89",2020-06-12 0:00:00
Platano,Platano Seda ( Selva),"1,44",2020-06-12 0:00:00
Pollo,Pollo Vivo,"3,35",2020-06-12 0:00:00
Sandia,Sandia,"0,98",2020-06-12 0:00:00
Tomate,Tomate Katia,"2,87",2020-06-12 0:00:00
Tuna,Tuna Amarilla,"3,58",2020-06-12 0:00:00
Tuna,Tuna Blanca,"3,13",2020-06-12 0:00:00
Tuna,Tuna Morada / Rosada,"2,73",2020-06-12 0:00:00
Uva,Uva Alfonso Lavalett,"1,63",2020-06-12 0:00:00
Uva,Uva Fley,"2,06",2020-06-12 0:00:00
Uva,Uva Italia,"2,5",2020-06-12 0:00:00
Uva,Uva Palestina,"2,94",2020-06-12 0:00:00
Uva,Uva Red Globe,"2,4",2020-06-12 0:00:00
Uva,Uva Rosada,"2,9",2020-06-12 0:00:00
Uva,Uva Superior,"3,56",2020-06-12 0:00:00
Vainita,Vainita Americana,"2,23",2020-06-12 0:00:00
Yuca,Yuca Amarilla,"1,33",2020-06-12 0:00:00
Zanahoria,Zanahoria,"0,52",2020-06-12 0:00:00
Zapallo,Zapallo Italiano,"0,46",2020-06-12 0:00:00
Zapallo,Zapallo Macre,"1,4",2020-06-12 0:00:00